id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
338,"Daru Desi - Full Video Song | Cocktail | Saif Ali Khan, Deepika Padukone & Diana Penty | Pritam",Sony Music India,Hindi,2010s,Very Popular,87300239,383116,227,3:47,2012-08-04T06:53:34Z,3nA1hmKCRpE,https://www.youtube.com/watch?v=3nA1hmKCRpE
339,"Kar Gayi Chull - Kapoor & Sons | Sidharth Malhotra, Alia Bhatt | Badshah | Amaal Mallik | Fazilpuria",Sony Music India,Hindi,2010s,Top Hit,585867559,1974810,143,2:23,2016-02-17T10:31:33Z,NTHz9ephYTw,https://www.youtube.com/watch?v=NTHz9ephYTw
340,Tum Hi Ho Bandhu,Pritam - Topic,English/International,2020s,Very Popular,20597174,132045,284,4:44,2025-09-26T10:38:38Z,W8OoagONXmg,https://www.youtube.com/watch?v=W8OoagONXmg
341,Tu Chale,Arijit Singh - Topic,English/International,2010s,Popular,7269469,83185,309,5:09,2015-08-07T22:18:30Z,1qotvbxy3Uc,https://www.youtube.com/watch?v=1qotvbxy3Uc
342,Tum Ho Toh - Acoustic,Vishal Mishra - Topic,English/International,2020s,Popular,2723936,20385,132,2:12,2025-06-27T13:34:37Z,YhLImpXqE-M,https://www.youtube.com/watch?v=YhLImpXqE-M
343,Maanu - Jhol (Acoustic) | Annural Khalid | Abdullah Siddiqui | Asfand,Maanu,English/International,2020s,Top Hit,131410454,636059,278,4:38,2025-02-02T14:00:06Z,BWczaSneA0Q,https://www.youtube.com/watch?v=BWczaSneA0Q
344,Sawaal (Acoustic),Abhijeet Srivastava - Topic,English/International,2020s,Popular,2542276,30656,153,2:33,2026-03-12T10:01:14Z,k8hpaXubbPY,https://www.youtube.com/watch?v=k8hpaXubbPY
345,Mera Dil Bhi Kitna Pagal Hai | Rahul Jain | Unplugged | Salman Khan,Rahul Jain,English/International,2010s,Very Popular,12563374,119755,185,3:05,2018-05-19T13:57:47Z,h1mmFW7sgGQ,https://www.youtube.com/watch?v=h1mmFW7sgGQ
346,SANAM - Teri Aankhon Se #Acoustic - Ft. Jonita Gandhi,Sanam,English/International,2010s,Very Popular,32207385,339684,259,4:19,2013-09-11T06:35:03Z,1ba9Yc96nZ0,https://www.youtube.com/watch?v=1ba9Yc96nZ0
347,"MEHFIL | ""Kangna Tera Ni"" (Live Acoustic)",PALLI presents,English/International,2020s,Very Popular,9493507,78811,177,2:57,2024-09-22T02:30:07Z,MdZRjkeJOJA,https://www.youtube.com/watch?v=MdZRjkeJOJA
348,Lucky Ali - O Sanam | Farmhouse Frames | Unplugged 2025,Lucky Ali,English/International,2020s,Very Popular,13681469,75502,227,3:47,2025-03-30T06:32:10Z,6bmDbIk8zUc,https://www.youtube.com/watch?v=6bmDbIk8zUc
